0,0
1,70
2,650
3,1450
4,2350
5,3350
6,4650
7,6650
8,9450
9,12950
10,17100
11,22000
12,27800
13,34300
14,41300
15,49191
16,58327
17,68882
18,81054
19,95071
20,111190
21,129706
22,150954
23,175317
24,203567
25,236338
26,274352
27,318449
28,369600
29,428936
30,497766
31,577609
32,670226
33,777662
34,902288
35,1046855
36,1214551
37,1409080
38,1634732
39,1896489
40,2200128
41,2552348
42,2960924
43,3434872
44,3984651
45,4622395
46,5362179
47,6220327
48,7215779
49,8370504
50,9709985
51,11263782
52,13066188
53,15156978
54,17582294
55,20395661
56,23659167
57,27444833
58,31836207
59,36930200
60,42839232
61,49780637
62,58283859
63,68700306
64,81460453
65,97091634
66,116239830
67,139696370
68,168430631
69,203630102
70,246749453
71,299570658
72,364276635
73,443541456
74,540640862
75,659587634
76,805297430
77,983791930
78,1202447693
79,1470301002
80,1798421306
81,2200368678
82,2692754209
83,3295926485
84,4034812522
85,4939947918
86,6048738778
87,7407007581
88,9070886865
89,11109138988
90,13605997839
91,16664649931
92,20411498744
93,25001388540
94,30624003540
95,37511706915
96,45949143550
97,56285003427
98,68946431776
99,84456681504
100,103456737421
101,126731805919
102,155243764829
103,190170914494
104,232956672834
105,285369226800
106,349574605408
107,428226194203
108,524574390477
109,642600930913
110,787183442946
111,964297020188
112,1181261152309
113,1447042214156
114,1772624014920
115,2171461720855
116,2660037910626
117,3258543743095
118,3991713387870
119,4889846202719
120,5990058900910
121,7337819456193
122,8988826136414
123,11011309319686
124,13488851219194
125,16523840046091
126,20241701359039
127,24796081467402
128,30375197100145
129,37209613750256
130,45581774146643
131,55837670632215
132,68401143827042
133,83791398490705
134,102644460453692
135,125739461358351
136,154030837466559
137,188687773199113
138,231142519471492
139,283149583655156
140,346858237280144
141,424901337970755
142,520504136316754
143,637617564290602
144,781081513558566
145,956824851411821
146,1172110440282060
147,1435835286648100
148,1758898223446500
149,2154650321024540
150,2639446640557650
